average_local_position,qualifying_starting_difference
2.4615384615384617,0
2.2222222222222223,12
3.625,32
2.1176470588235294,4
4.0,4
2.823529411764706,4
1.894736842105263,0
2.0,0
3.1,6
2.6666666666666665,4
2.0,0
2.5,6
4.25,54
1.2,0
2.5714285714285716,54
1.375,2
2.0,4
1.7647058823529411,14
1.625,6
2.75,2
1.6923076923076923,2
1.1666666666666667,4
3.7333333333333334,2
3.066666666666667,2
3.8823529411764706,6
1.2857142857142858,2
3.473684210526316,2
3.857142857142857,10
2.727272727272727,20
1.2,2
2.1176470588235294,4
2.2222222222222223,4
2.6666666666666665,4
2.625,4
3.0476190476190474,6
3.2941176470588234,16
1.375,6
2.0,2
2.3333333333333335,2
2.588235294117647,18
3.473684210526316,36
2.375,4
1.9,0
1.894736842105263,4
4.125,10
1.0588235294117647,0
2.7058823529411766,0
2.4,4
2.380952380952381,0
2.1176470588235294,2
2.0,2
2.4,0
1.375,4
0.6666666666666666,10
3.142857142857143,0
2.0,0
1.6,0
3.066666666666667,2
2.0,8
1.8666666666666667,2
2.923076923076923,4
2.0,2
3.125,0
1.5,0
2.5,8
3.0588235294117645,20
1.2727272727272727,0
3.0588235294117645,4
2.2857142857142856,0
2.2666666666666666,6
2.7142857142857144,14
3.2,6
1.0588235294117647,0
2.0,14
3.0,16
2.6315789473684212,4
2.769230769230769,8
0.9230769230769231,6
2.7777777777777777,0
1.875,2
2.0,12
3.142857142857143,2
2.0,2
3.8666666666666667,12
1.75,40
2.2857142857142856,32
2.2666666666666666,12
2.4444444444444446,0
3.176470588235294,22
2.75,36
2.6153846153846154,4
2.0,10
2.3529411764705883,6
1.2857142857142858,2
2.125,16
3.6666666666666665,0
2.1176470588235294,0
1.7333333333333334,52
1.2941176470588236,0
2.3333333333333335,2
1.6470588235294117,10
2.3333333333333335,2
2.8421052631578947,24
2.75,16
5.384615384615385,14
2.111111111111111,8
3.8823529411764706,2
3.5,14
2.0,26
2.7142857142857144,6
2.25,0
1.8823529411764706,0
2.235294117647059,4
5.555555555555555,4
2.6666666666666665,4
2.6666666666666665,2
3.25,10
3.3333333333333335,2
2.875,2
3.2222222222222223,0
1.2222222222222223,10
1.0,2
3.3333333333333335,6
0.9090909090909091,10
2.7058823529411766,2
2.4285714285714284,0
2.3333333333333335,18
2.7142857142857144,0
5.125,0
3.0588235294117645,10
3.375,12
1.4444444444444444,16
2.7058823529411766,4
2.375,12
2.2222222222222223,20
1.5555555555555556,0
1.2941176470588236,4
4.705882352941177,6
3.1578947368421053,0
1.5294117647058822,0
2.7777777777777777,12
1.6470588235294117,6
3.0,20
0.21052631578947367,34
2.1176470588235294,12
2.2857142857142856,0
4.333333333333333,0
4.105263157894737,4
1.5,6
3.2941176470588234,10
2.3529411764705883,42
3.0588235294117645,0
3.0,18
2.857142857142857,0
4.0,8
1.5384615384615385,0
2.0,26
3.411764705882353,38
2.875,2
2.7058823529411766,6
1.625,4
1.4666666666666666,0
3.5,4
2.769230769230769,32
2.375,16
2.2666666666666666,18
4.315789473684211,12
4.470588235294118,2
2.1176470588235294,8
4.0,16
2.769230769230769,0
1.8823529411764706,2
3.5,0
2.3333333333333335,0
2.875,26
2.5555555555555554,0
2.875,10
3.176470588235294,22
4.0,4
1.8823529411764706,2
3.0526315789473686,36
1.8888888888888888,0
3.789473684210526,6
3.764705882352941,40
2.7777777777777777,10
2.823529411764706,0
3.176470588235294,0
1.411764705882353,0
3.375,0
1.8823529411764706,2
4.266666666666667,14
1.2857142857142858,4
3.25,4
2.857142857142857,2
3.0,0
2.4615384615384617,26
5.666666666666667,0
2.210526315789474,12
2.4210526315789473,4
1.8823529411764706,6
2.375,8
1.5,0
1.875,0
2.888888888888889,10
1.8888888888888888,4
0.5333333333333333,26
2.0,12
1.5789473684210527,4
3.3684210526315788,0
1.411764705882353,0
2.7777777777777777,2
2.3529411764705883,0
2.6315789473684212,0
2.0,0
4.111111111111111,0
2.2222222222222223,22
4.0,14
2.0,0
3.857142857142857,0
2.3529411764705883,14
2.4285714285714284,2
3.875,8
